['headhunterm', 202559973, 'impression', '8', 240862541L, datetime.datetime(2013, 5, 21, 12, 20, 3), 0.0298626162288913, False, 'best']
['headhunterm', 202559973, 'impression', '3', 240915187L, datetime.datetime(2013, 5, 21, 12, 20, 3), 0.187128026019262, False, 'best']
['headhunterm', 202559973, 'impression', '6', 240912153L, datetime.datetime(2013, 5, 21, 12, 20, 3), 0.0817237039640775, False, 'best']
['headhunterm', 202559973, 'impression', '5', 240865471L, datetime.datetime(2013, 5, 21, 12, 20, 3), 0.159773286487568, False, 'best']
['headhunterm', 202559973, 'impression', '3', 240915187L, datetime.datetime(2013, 5, 21, 12, 22, 54), 0.187128026019262, False, 'best']
['headhunterm', 202559973, 'impression', '1', 240875342L, datetime.datetime(2013, 5, 21, 12, 23, 5), 0.303361181830259, False, 'best']
['headhunterm', 202559973, 'expand_tile', '1', 240875342L, datetime.datetime(2013, 5, 21, 12, 23, 14), 0.303361181830259, False, 'best']
['headhunterm', 202559973, 'send_message', '1', 240875342L, datetime.datetime(2013, 5, 21, 12, 23, 17), 0.303361181830259, False, 'best']
['headhunterm', 202559973, 'view_full_application_via_message', '1', 240875342L, datetime.datetime(2013, 5, 21, 12, 27, 42), 0.303361181830259, False, 'best']
['headhunterm', 202559973, 'impression', '2', 240855912L, datetime.datetime(2013, 5, 21, 12, 28, 2), 0.203840915721513, False, 'best']
['headhunterm', 202559973, 'impression', '6', 240912153L, datetime.datetime(2013, 5, 21, 12, 28, 2), 0.0817237039640775, False, 'best']
['headhunterm', 202559973, 'impression', '5', 240865471L, datetime.datetime(2013, 5, 21, 12, 28, 2), 0.159773286487568, False, 'best']
['headhunterm', 202559973, 'impression', '3', 240915187L, datetime.datetime(2013, 5, 21, 12, 28, 2), 0.187128026019262, False, 'best']
['headhunterm', 202559973, 'impression', '4', 240857834L, datetime.datetime(2013, 5, 21, 12, 28, 2), 0.160180771670813, False, 'best']
['headhunterm', 202559973, 'impression', '1', 240875342L, datetime.datetime(2013, 5, 21, 12, 28, 2), 0.303361181830259, False, 'best']
['headhunterm', 202559973, 'impression', '7', 240877363L, datetime.datetime(2013, 5, 21, 12, 28, 2), 0.0603180981897257, False, 'best']
['headhunterm', 202559973, 'impression', '8', 240862541L, datetime.datetime(2013, 5, 21, 12, 28, 2), 0.0298626162288913, False, 'best']
['headhunterm', 202559973, 'impression', '4', 240857834L, datetime.datetime(2013, 5, 21, 12, 28, 16), 0.160180771670813, False, 'best']
['headhunterm', 202559973, 'view_full_application_via_name', '4', 240857834L, datetime.datetime(2013, 5, 21, 12, 28, 20), 0.160180771670813, False, 'best']
['headhunterm', 202559973, 'impression', '7', 240877363L, datetime.datetime(2013, 5, 21, 12, 29, 46), 0.0603180981897257, False, 'best']
['headhunterm', 202559973, 'impression', '8', 240862541L, datetime.datetime(2013, 5, 21, 12, 29, 46), 0.0298626162288913, False, 'best']
['headhunterm', 202559973, 'impression', '5', 240865471L, datetime.datetime(2013, 5, 21, 12, 29, 46), 0.159773286487568, False, 'best']
['headhunterm', 202559973, 'impression', '6', 240912153L, datetime.datetime(2013, 5, 21, 12, 29, 46), 0.0817237039640775, False, 'best']
['headhunterm', 202559973, 'impression', '1', 240875342L, datetime.datetime(2013, 5, 21, 12, 29, 46), 0.303361181830259, False, 'best']
['headhunterm', 202559973, 'impression', '3', 240915187L, datetime.datetime(2013, 5, 21, 12, 29, 46), 0.187128026019262, False, 'best']
['headhunterm', 202559973, 'impression', '4', 240857834L, datetime.datetime(2013, 5, 21, 12, 29, 46), 0.160180771670813, False, 'best']
['headhunterm', 202559973, 'impression', '2', 240855912L, datetime.datetime(2013, 5, 21, 12, 29, 46), 0.203840915721513, False, 'best']
['headhunterm', 202559973, 'impression', '3', 240915187L, datetime.datetime(2013, 5, 21, 12, 29, 58), 0.187128026019262, False, 'best']
['headhunterm', 202559973, 'expand_tile', '3', 240915187L, datetime.datetime(2013, 5, 21, 12, 29, 59), 0.187128026019262, False, 'best']
['headhunterm', 202559973, 'impression', '1', 240875342L, datetime.datetime(2013, 5, 21, 12, 37, 58), 0.303361181830259, False, 'best']
['headhunterm', 202559973, 'impression', '3', 240915187L, datetime.datetime(2013, 5, 21, 12, 37, 58), 0.187128026019262, False, 'best']
['headhunterm', 202559973, 'impression', '2', 240855912L, datetime.datetime(2013, 5, 21, 12, 37, 58), 0.203840915721513, False, 'best']
['headhunterm', 202559973, 'impression', '5', 240865471L, datetime.datetime(2013, 5, 21, 12, 37, 58), 0.159773286487568, False, 'best']
['headhunterm', 202559973, 'impression', '6', 240912153L, datetime.datetime(2013, 5, 21, 12, 37, 58), 0.0817237039640775, False, 'best']
['headhunterm', 202559973, 'impression', '7', 240877363L, datetime.datetime(2013, 5, 21, 12, 37, 58), 0.0603180981897257, False, 'best']
['headhunterm', 202559973, 'impression', '8', 240862541L, datetime.datetime(2013, 5, 21, 12, 37, 58), 0.0298626162288913, False, 'best']
['headhunterm', 202559973, 'impression', '4', 240857834L, datetime.datetime(2013, 5, 21, 12, 37, 58), 0.160180771670813, False, 'best']
['headhunterm', 202559973, 'expand_tile', '6', 240912153L, datetime.datetime(2013, 5, 21, 12, 38, 17), 0.0817237039640775, False, 'best']
['headhunterm', 202559973, 'impression', '6', 240912153L, datetime.datetime(2013, 5, 21, 12, 38, 19), 0.0817237039640775, False, 'best']
['headhunterm', 202559973, 'expand_tile', '7', 240877363L, datetime.datetime(2013, 5, 21, 12, 39, 13), 0.0603180981897257, False, 'best']
['headhunterm', 202559973, 'send_message', '7', 240877363L, datetime.datetime(2013, 5, 21, 12, 39, 36), 0.0603180981897257, False, 'best']
['headhunterm', 202559973, 'expand_tile', '7', 240877363L, datetime.datetime(2013, 5, 21, 12, 43, 12), 0.0603180981897257, False, 'best']
['headhunterm', 202559973, 'view_full_application_via_message', '7', 240877363L, datetime.datetime(2013, 5, 21, 12, 43, 20), 0.0603180981897257, False, 'best']

