['intervisiontv', 202557453, 'impression', '2', 240967397L, datetime.datetime(2013, 5, 23, 2, 21, 59), 0.483354787487546, False, 'best']
['intervisiontv', 202557453, 'impression', '7', 240805584L, datetime.datetime(2013, 5, 23, 2, 21, 59), 0.0459319175887046, False, 'best']
['intervisiontv', 202557453, 'impression', '3', 240977330L, datetime.datetime(2013, 5, 23, 2, 21, 59), 0.424976790984194, False, 'best']
['intervisiontv', 202557453, 'impression', '5', 240801655L, datetime.datetime(2013, 5, 23, 2, 21, 59), 0.313007407938011, False, 'best']
['intervisiontv', 202557453, 'impression', '4', 240887395L, datetime.datetime(2013, 5, 23, 2, 21, 59), 0.362077361844407, False, 'best']
['intervisiontv', 202557453, 'impression', '6', 240824424L, datetime.datetime(2013, 5, 23, 2, 21, 59), 0.0944109001048404, False, 'best']
['intervisiontv', 202557453, 'view_full_application_via_name', '2', 240967397L, datetime.datetime(2013, 5, 23, 2, 22, 3), 0.483354787487546, False, 'best']
['intervisiontv', 202557453, 'impression', '2', 240967397L, datetime.datetime(2013, 5, 23, 2, 23, 17), 0.483354787487546, False, 'best']
['intervisiontv', 202557453, 'impression', '4', 240887395L, datetime.datetime(2013, 5, 23, 2, 23, 17), 0.362077361844407, False, 'best']
['intervisiontv', 202557453, 'impression', '6', 240824424L, datetime.datetime(2013, 5, 23, 2, 23, 17), 0.0944109001048404, False, 'best']
['intervisiontv', 202557453, 'impression', '5', 240801655L, datetime.datetime(2013, 5, 23, 2, 23, 17), 0.313007407938011, False, 'best']
['intervisiontv', 202557453, 'impression', '7', 240805584L, datetime.datetime(2013, 5, 23, 2, 23, 17), 0.0459319175887046, False, 'best']
['intervisiontv', 202557453, 'impression', '3', 240977330L, datetime.datetime(2013, 5, 23, 2, 23, 17), 0.424976790984194, False, 'best']
['intervisiontv', 202557453, 'impression', '1', 240969931L, datetime.datetime(2013, 5, 23, 2, 23, 17), 0.891767480457827, False, 'best']
['intervisiontv', 202557453, 'view_full_application_via_name', '6', 240824424L, datetime.datetime(2013, 5, 23, 2, 24, 35), 0.0944109001048404, False, 'best']

['intervisiontv', 202557453, 'impression', '2', 240967397L, datetime.datetime(2013, 5, 23, 3, 0, 18), 0.483354787487546, False, 'best']
['intervisiontv', 202557453, 'impression', '5', 240801655L, datetime.datetime(2013, 5, 23, 3, 0, 18), 0.313007407938011, False, 'best']
['intervisiontv', 202557453, 'impression', '1', 240969931L, datetime.datetime(2013, 5, 23, 3, 0, 18), 0.891767480457827, False, 'best']
['intervisiontv', 202557453, 'impression', '6', 240824424L, datetime.datetime(2013, 5, 23, 3, 0, 18), 0.0944109001048404, False, 'best']
['intervisiontv', 202557453, 'impression', '4', 240887395L, datetime.datetime(2013, 5, 23, 3, 0, 18), 0.362077361844407, False, 'best']
['intervisiontv', 202557453, 'impression', '7', 240805584L, datetime.datetime(2013, 5, 23, 3, 0, 18), 0.0459319175887046, False, 'best']
['intervisiontv', 202557453, 'impression', '3', 240977330L, datetime.datetime(2013, 5, 23, 3, 0, 18), 0.424976790984194, False, 'best']

['intervisiontv', 202557453, 'impression', '1', 240967397L, datetime.datetime(2013, 5, 25, 5, 5, 35), 0.483354787487546, False, 'best']
['intervisiontv', 202557453, 'impression', '2', 240977330L, datetime.datetime(2013, 5, 25, 5, 5, 35), 0.424976790984194, False, 'best']
['intervisiontv', 202557453, 'impression', '8', 240805584L, datetime.datetime(2013, 5, 25, 5, 5, 35), 0.0459319175887046, False, 'best']
['intervisiontv', 202557453, 'impression', '6', 241183278L, datetime.datetime(2013, 5, 25, 5, 5, 35), 0.312639897929748, False, 'best']
['intervisiontv', 202557453, 'impression', '4', 241224685L, datetime.datetime(2013, 5, 25, 5, 5, 35), 0.357857567315127, False, 'best']
['intervisiontv', 202557453, 'impression', '5', 240801655L, datetime.datetime(2013, 5, 25, 5, 5, 35), 0.313007407938011, False, 'best']
['intervisiontv', 202557453, 'impression', '7', 240824424L, datetime.datetime(2013, 5, 25, 5, 5, 35), 0.0944109001048404, False, 'best']
['intervisiontv', 202557453, 'impression', '3', 240887395L, datetime.datetime(2013, 5, 25, 5, 5, 35), 0.362077361844407, False, 'best']

['intervisiontv', 202557453, 'impression', '3', 240887395L, datetime.datetime(2013, 5, 27, 3, 31, 47), 0.362077361844407, False, 'best']
['intervisiontv', 202557453, 'impression', '7', 240824424L, datetime.datetime(2013, 5, 27, 3, 31, 47), 0.0944109001048404, False, 'best']
['intervisiontv', 202557453, 'impression', '5', 240801655L, datetime.datetime(2013, 5, 27, 3, 31, 47), 0.313007407938011, False, 'best']
['intervisiontv', 202557453, 'impression', '4', 241224685L, datetime.datetime(2013, 5, 27, 3, 31, 47), 0.357857567315127, False, 'best']
['intervisiontv', 202557453, 'impression', '1', 240967397L, datetime.datetime(2013, 5, 27, 3, 31, 47), 0.483354787487546, False, 'best']
['intervisiontv', 202557453, 'impression', '2', 240977330L, datetime.datetime(2013, 5, 27, 3, 31, 47), 0.424976790984194, False, 'best']
['intervisiontv', 202557453, 'impression', '6', 241183278L, datetime.datetime(2013, 5, 27, 3, 31, 47), 0.312639897929748, False, 'best']
['intervisiontv', 202557453, 'impression', '8', 240805584L, datetime.datetime(2013, 5, 27, 3, 31, 47), 0.0459319175887046, False, 'best']
['intervisiontv', 202557453, 'view_full_application_via_name', '4', 241224685L, datetime.datetime(2013, 5, 27, 3, 32, 6), 0.357857567315127, False, 'best']
['intervisiontv', 202557453, 'impression', '8', 240805584L, datetime.datetime(2013, 5, 27, 3, 37, 25), 0.0459319175887046, False, 'best']
['intervisiontv', 202557453, 'impression', '2', 240977330L, datetime.datetime(2013, 5, 27, 3, 37, 25), 0.424976790984194, False, 'best']
['intervisiontv', 202557453, 'impression', '6', 241183278L, datetime.datetime(2013, 5, 27, 3, 37, 25), 0.312639897929748, False, 'best']
['intervisiontv', 202557453, 'impression', '5', 240801655L, datetime.datetime(2013, 5, 27, 3, 37, 25), 0.313007407938011, False, 'best']
['intervisiontv', 202557453, 'impression', '4', 241224685L, datetime.datetime(2013, 5, 27, 3, 37, 25), 0.357857567315127, False, 'best']
['intervisiontv', 202557453, 'impression', '3', 240887395L, datetime.datetime(2013, 5, 27, 3, 37, 25), 0.362077361844407, False, 'best']
['intervisiontv', 202557453, 'impression', '7', 240824424L, datetime.datetime(2013, 5, 27, 3, 37, 25), 0.0944109001048404, False, 'best']
['intervisiontv', 202557453, 'impression', '1', 240967397L, datetime.datetime(2013, 5, 27, 3, 37, 25), 0.483354787487546, False, 'best']
['intervisiontv', 202557453, 'view_full_application_via_name', '6', 241183278L, datetime.datetime(2013, 5, 27, 3, 37, 30), 0.312639897929748, False, 'best']
['intervisiontv', 202557453, 'impression', '1', 240967397L, datetime.datetime(2013, 5, 27, 3, 38, 55), 0.483354787487546, False, 'best']
['intervisiontv', 202557453, 'impression', '4', 241224685L, datetime.datetime(2013, 5, 27, 3, 38, 55), 0.357857567315127, False, 'best']
['intervisiontv', 202557453, 'impression', '5', 240801655L, datetime.datetime(2013, 5, 27, 3, 38, 55), 0.313007407938011, False, 'best']
['intervisiontv', 202557453, 'impression', '3', 240887395L, datetime.datetime(2013, 5, 27, 3, 38, 55), 0.362077361844407, False, 'best']
['intervisiontv', 202557453, 'impression', '7', 240824424L, datetime.datetime(2013, 5, 27, 3, 38, 55), 0.0944109001048404, False, 'best']
['intervisiontv', 202557453, 'impression', '6', 241183278L, datetime.datetime(2013, 5, 27, 3, 38, 55), 0.312639897929748, False, 'best']
['intervisiontv', 202557453, 'impression', '8', 240805584L, datetime.datetime(2013, 5, 27, 3, 38, 55), 0.0459319175887046, False, 'best']
['intervisiontv', 202557453, 'impression', '2', 240977330L, datetime.datetime(2013, 5, 27, 3, 38, 55), 0.424976790984194, False, 'best']
['intervisiontv', 202557453, 'view_full_application_via_name', '1', 240967397L, datetime.datetime(2013, 5, 27, 3, 41, 59), 0.483354787487546, False, 'best']

