['whitie7', 202570449, 'impression', '18', 241055735L, datetime.datetime(2013, 5, 23, 3, 0, 34), 0.0678467780442017, False, 'time']
['whitie7', 202570449, 'impression', '16', 241055965L, datetime.datetime(2013, 5, 23, 3, 0, 34), 0.0226132854406155, False, 'time']
['whitie7', 202570449, 'impression', '17', 241055765L, datetime.datetime(2013, 5, 23, 3, 0, 34), 0.0149523490997816, False, 'time']
['whitie7', 202570449, 'impression', '14', 241056026L, datetime.datetime(2013, 5, 23, 3, 0, 34), 0.0395578990411584, False, 'time']
['whitie7', 202570449, 'impression', '15', 241055997L, datetime.datetime(2013, 5, 23, 3, 0, 34), 0.0393808181914625, False, 'time']
['whitie7', 202570449, 'impression', '20', 241055524L, datetime.datetime(2013, 5, 23, 3, 0, 34), 0.0390325616953987, False, 'time']
['whitie7', 202570449, 'impression', '1', 241064131L, datetime.datetime(2013, 5, 23, 3, 0, 34), 0.103781876878327, False, 'time']
['whitie7', 202570449, 'impression', '2', 241061521L, datetime.datetime(2013, 5, 23, 3, 0, 34), 0.130544053655658, False, 'time']
['whitie7', 202570449, 'impression', '8', 241056529L, datetime.datetime(2013, 5, 23, 3, 0, 34), 0.00945334083661363, False, 'time']
['whitie7', 202570449, 'impression', '4', 241057350L, datetime.datetime(2013, 5, 23, 3, 0, 34), 0.833726143409105, False, 'time']
['whitie7', 202570449, 'impression', '13', 241056059L, datetime.datetime(2013, 5, 23, 3, 0, 34), 0.0339510727080216, False, 'time']
['whitie7', 202570449, 'impression', '12', 241056091L, datetime.datetime(2013, 5, 23, 3, 0, 34), 0.0588286145791631, False, 'time']
