['marijowc', 202562449, 'impression', '11', 240903495L, datetime.datetime(2013, 5, 22, 4, 11, 1), 0.119035854974089, False, 'best']
['marijowc', 202562449, 'impression', '2', 240909053L, datetime.datetime(2013, 5, 22, 4, 11, 1), 0.268149236021181, False, 'best']
['marijowc', 202562449, 'impression', '10', 240914458L, datetime.datetime(2013, 5, 22, 4, 11, 3), 0.129706173072145, False, 'best']
['marijowc', 202562449, 'expand_tile', '9', 240902868L, datetime.datetime(2013, 5, 22, 4, 11, 8), 0.134784996819375, False, 'best']
['marijowc', 202562449, 'view_full_application', '9', 240902868L, datetime.datetime(2013, 5, 22, 4, 11, 11), 0.134784996819375, False, 'best']
['marijowc', 202562449, 'impression', '4', 240905561L, datetime.datetime(2013, 5, 22, 4, 12, 1), 0.153044564379832, False, 'best']
['marijowc', 202562449, 'impression', '7', 240910255L, datetime.datetime(2013, 5, 22, 4, 12, 1), 0.140687190250738, False, 'best']
['marijowc', 202562449, 'impression', '6', 240906007L, datetime.datetime(2013, 5, 22, 4, 12, 1), 0.145127322198507, False, 'best']
['marijowc', 202562449, 'impression', '2', 240909053L, datetime.datetime(2013, 5, 22, 4, 12, 1), 0.268149236021181, False, 'best']
['marijowc', 202562449, 'impression', '1', 240969489L, datetime.datetime(2013, 5, 22, 4, 12, 1), 0.306958881269832, False, 'best']
['marijowc', 202562449, 'impression', '11', 240906646L, datetime.datetime(2013, 5, 22, 4, 12, 1), 0.0963644208777761, False, 'best']
['marijowc', 202562449, 'impression', '8', 240922216L, datetime.datetime(2013, 5, 22, 4, 12, 1), 0.135175541360097, False, 'best']
['marijowc', 202562449, 'impression', '9', 240902868L, datetime.datetime(2013, 5, 22, 4, 12, 1), 0.134784996819375, False, 'best']
['marijowc', 202562449, 'impression', '5', 240904075L, datetime.datetime(2013, 5, 22, 4, 12, 1), 0.148865760125327, False, 'best']
