['pramodchauhan80', 202563078, 'impression', '4', 240925423L, datetime.datetime(2013, 5, 23, 8, 43, 44), 0.125957323697445, False, 'time']
['pramodchauhan80', 202563078, 'impression', '2', 240935923L, datetime.datetime(2013, 5, 23, 8, 43, 44), 0.0471081401079702, False, 'time']
['pramodchauhan80', 202563078, 'impression', '3', 240934175L, datetime.datetime(2013, 5, 23, 8, 43, 44), 0.0996946428362141, False, 'time']

['pramodchauhan80', 202563078, 'impression', '4', 240925423L, datetime.datetime(2013, 5, 23, 20, 13, 5), 0.125957323697445, False, 'time']
['pramodchauhan80', 202563078, 'impression', '1', 240955716L, datetime.datetime(2013, 5, 23, 20, 13, 5), 0.170945666481772, True, 'time']
['pramodchauhan80', 202563078, 'impression', '2', 240935923L, datetime.datetime(2013, 5, 23, 20, 13, 5), 0.0471081401079702, False, 'time']
['pramodchauhan80', 202563078, 'impression', '3', 240934175L, datetime.datetime(2013, 5, 23, 20, 13, 5), 0.0996946428362141, False, 'time']
['pramodchauhan80', 202563078, 'impression', '4', 240925423L, datetime.datetime(2013, 5, 23, 20, 18, 43), 0.125957323697445, False, 'time']
['pramodchauhan80', 202563078, 'impression', '3', 240934175L, datetime.datetime(2013, 5, 23, 20, 18, 43), 0.0996946428362141, False, 'time']
['pramodchauhan80', 202563078, 'impression', '1', 240955716L, datetime.datetime(2013, 5, 23, 20, 18, 43), 0.170945666481772, True, 'time']
['pramodchauhan80', 202563078, 'impression', '2', 240935923L, datetime.datetime(2013, 5, 23, 20, 18, 43), 0.0471081401079702, False, 'time']
['pramodchauhan80', 202563078, 'impression', '2', 240935923L, datetime.datetime(2013, 5, 23, 20, 45, 6), 0.0471081401079702, False, 'time']
['pramodchauhan80', 202563078, 'impression', '3', 240934175L, datetime.datetime(2013, 5, 23, 20, 45, 6), 0.0996946428362141, False, 'time']
['pramodchauhan80', 202563078, 'impression', '4', 240925423L, datetime.datetime(2013, 5, 23, 20, 45, 6), 0.125957323697445, False, 'time']
['pramodchauhan80', 202563078, 'impression', '1', 240955716L, datetime.datetime(2013, 5, 23, 20, 45, 6), 0.170945666481772, True, 'time']
