['crazydollardeals', 202543862, 'impression', '4', 240541764L, datetime.datetime(2013, 5, 16, 15, 51, 43), 0.085100615584787, False, 'time']
['crazydollardeals', 202543862, 'impression', '2', 240543672L, datetime.datetime(2013, 5, 16, 15, 51, 43), 0.171867555340611, False, 'time']
['crazydollardeals', 202543862, 'impression', '14', 240514321L, datetime.datetime(2013, 5, 16, 15, 51, 43), 0.086502608657681, False, 'time']
['crazydollardeals', 202543862, 'impression', '18', 240504177L, datetime.datetime(2013, 5, 16, 15, 51, 43), 0.235372834803086, False, 'time']
['crazydollardeals', 202543862, 'impression', '8', 240525363L, datetime.datetime(2013, 5, 16, 15, 51, 43), 0.050846778949115, False, 'time']
['crazydollardeals', 202543862, 'impression', '5', 240533241L, datetime.datetime(2013, 5, 16, 15, 51, 43), 0.0969117986856607, False, 'time']
['crazydollardeals', 202543862, 'impression', '1', 240551496L, datetime.datetime(2013, 5, 16, 15, 51, 43), 0.0423448758237268, False, 'time']
['crazydollardeals', 202543862, 'impression', '3', 240542236L, datetime.datetime(2013, 5, 16, 15, 51, 43), 0.081321602568483, False, 'time']
['crazydollardeals', 202543862, 'impression', '16', 240504286L, datetime.datetime(2013, 5, 16, 15, 51, 43), 0.236897630884562, False, 'time']
['crazydollardeals', 202543862, 'expand_tile', '8', 240525363L, datetime.datetime(2013, 5, 16, 15, 52, 46), 0.050846778949115, False, 'time']
['crazydollardeals', 202543862, 'view_full_application', '8', 240525363L, datetime.datetime(2013, 5, 16, 15, 53, 12), 0.050846778949115, False, 'time']
['crazydollardeals', 202543862, 'impression', '7', 240525824L, datetime.datetime(2013, 5, 16, 15, 55, 33), 0.0709327024671827, False, 'time']
['crazydollardeals', 202543862, 'impression', '6', 240525904L, datetime.datetime(2013, 5, 16, 15, 55, 33), 0.117326042610104, False, 'time']
['crazydollardeals', 202543862, 'impression', '12', 240514563L, datetime.datetime(2013, 5, 16, 15, 55, 33), 0.16857745356787, False, 'time']
['crazydollardeals', 202543862, 'impression', '10', 240522902L, datetime.datetime(2013, 5, 16, 15, 55, 33), 0.243776683097144, False, 'time']
['crazydollardeals', 202543862, 'impression', '4', 240541764L, datetime.datetime(2013, 5, 16, 15, 55, 33), 0.085100615584787, False, 'time']
['crazydollardeals', 202543862, 'impression', '9', 240524683L, datetime.datetime(2013, 5, 16, 15, 55, 33), 0.0611946933379737, False, 'time']
['crazydollardeals', 202543862, 'impression', '11', 240519380L, datetime.datetime(2013, 5, 16, 15, 55, 33), 0.322517746373968, False, 'time']
['crazydollardeals', 202543862, 'impression', '13', 240514435L, datetime.datetime(2013, 5, 16, 15, 55, 33), 0.0937570616668443, True, 'time']
['crazydollardeals', 202543862, 'impression', '19', 240504048L, datetime.datetime(2013, 5, 16, 15, 55, 33), 0.326681950093918, False, 'time']
['crazydollardeals', 202543862, 'impression', '17', 240504235L, datetime.datetime(2013, 5, 16, 15, 55, 33), 0.174229803837848, False, 'time']
['crazydollardeals', 202543862, 'impression', '15', 240510192L, datetime.datetime(2013, 5, 16, 15, 55, 33), 0.254132114717294, False, 'time']
