['leon740gk', 202540118, 'impression', '6', 240434073L, datetime.datetime(2013, 5, 20, 8, 53, 39), 0.583047746956907, False, 'time']
['leon740gk', 202540118, 'view_full_application_via_name', '1', 240645255L, datetime.datetime(2013, 5, 20, 8, 53, 42), 0.377210116689671, False, 'time']

['leon740gk', 202540118, 'impression', '1', 240823776L, datetime.datetime(2013, 5, 20, 12, 16, 57), 0.468658528445955, False, 'time']
['leon740gk', 202540118, 'impression', '5', 240435878L, datetime.datetime(2013, 5, 20, 12, 16, 57), 0.608507302931727, False, 'time']
['leon740gk', 202540118, 'impression', '7', 240434073L, datetime.datetime(2013, 5, 20, 12, 16, 57), 0.583047746956907, False, 'time']
['leon740gk', 202540118, 'impression', '4', 240441619L, datetime.datetime(2013, 5, 20, 12, 16, 57), 0.359805457848029, False, 'time']
['leon740gk', 202540118, 'impression', '3', 240517000L, datetime.datetime(2013, 5, 20, 12, 16, 57), 0.30716401657515, False, 'time']
['leon740gk', 202540118, 'impression', '6', 240435730L, datetime.datetime(2013, 5, 20, 12, 16, 57), 0.283548438405065, False, 'time']
['leon740gk', 202540118, 'impression', '2', 240645255L, datetime.datetime(2013, 5, 20, 12, 16, 57), 0.377210116689671, False, 'time']
['leon740gk', 202540118, 'hide', '1', 240823776L, datetime.datetime(2013, 5, 20, 12, 17, 1), 0.468658528445955, False, 'time']

['leon740gk', 202540118, 'impression', '7', 240434073L, datetime.datetime(2013, 5, 24, 10, 49, 28), 0.583047746956907, False, 'time']
['leon740gk', 202540118, 'impression', '5', 240435878L, datetime.datetime(2013, 5, 24, 10, 49, 28), 0.608507302931727, False, 'time']
['leon740gk', 202540118, 'impression', '2', 240645255L, datetime.datetime(2013, 5, 24, 10, 49, 28), 0.377210116689671, False, 'time']
['leon740gk', 202540118, 'impression', '4', 240441619L, datetime.datetime(2013, 5, 24, 10, 49, 28), 0.359805457848029, False, 'time']
['leon740gk', 202540118, 'impression', '6', 240435730L, datetime.datetime(2013, 5, 24, 10, 49, 28), 0.283548438405065, False, 'time']
['leon740gk', 202540118, 'impression', '3', 240517000L, datetime.datetime(2013, 5, 24, 10, 49, 28), 0.30716401657515, False, 'time']
['leon740gk', 202540118, 'impression', '1', 241182990L, datetime.datetime(2013, 5, 24, 10, 49, 28), 0.13269472449342, False, 'time']
['leon740gk', 202540118, 'expand_tile', '1', 241182990L, datetime.datetime(2013, 5, 24, 10, 49, 37), 0.13269472449342, False, 'time']
['leon740gk', 202540118, 'view_full_application', '1', 241182990L, datetime.datetime(2013, 5, 24, 10, 49, 39), 0.13269472449342, False, 'time']

['leon740gk', 202540118, 'impression', '1', 241193151L, datetime.datetime(2013, 5, 24, 13, 41, 11), 0.045052288457652, False, 'time']
['leon740gk', 202540118, 'impression', '2', 241182990L, datetime.datetime(2013, 5, 24, 13, 41, 11), 0.13269472449342, False, 'time']
['leon740gk', 202540118, 'impression', '3', 240645255L, datetime.datetime(2013, 5, 24, 13, 41, 11), 0.377210116689671, False, 'time']
['leon740gk', 202540118, 'impression', '7', 240435730L, datetime.datetime(2013, 5, 24, 13, 41, 11), 0.283548438405065, False, 'time']
['leon740gk', 202540118, 'impression', '4', 240517000L, datetime.datetime(2013, 5, 24, 13, 41, 11), 0.30716401657515, False, 'time']
['leon740gk', 202540118, 'impression', '5', 240441619L, datetime.datetime(2013, 5, 24, 13, 41, 11), 0.359805457848029, False, 'time']
['leon740gk', 202540118, 'impression', '8', 240434073L, datetime.datetime(2013, 5, 24, 13, 41, 11), 0.583047746956907, False, 'time']
['leon740gk', 202540118, 'impression', '6', 240435878L, datetime.datetime(2013, 5, 24, 13, 41, 11), 0.608507302931727, False, 'time']
['leon740gk', 202540118, 'hide', '1', 241193151L, datetime.datetime(2013, 5, 24, 13, 43, 25), 0.045052288457652, False, 'time']

